MDLYR_DT,VI_MFR_CD,VI_MFR_NM,GBE_INDX_NUM,OV_ID,VC_CNFG_NUM,CL_NM,CLS_TYP_CD,GBE_CID_MSR,GBE_PLC_IND_CD,VC_RTD_HP_MSR,ECS_CD,ECS_CD_0,ECS_CD_1,ECS_CD_2,ECS_CD_3,EVCS_CD,TRNS,DRV_SYS_CD,TOD_CD,VC_DSN_ETW_MSR,VC_CMPRSN_RAT_MSR,VC_AXLE_RAT_MSR,VC_NV_RAT_MSR,TPF_ACHP_IND_CD,TPF_DYNO_HP_MSR,SIL_CD,TST_PRC_CD,TST_PRPS_CD,TST_NUM_ID,Test Originator,VEH_FL_TYP_CD,CH_CD,AVRG_CD,GT_WT_MSR,CMYT_HC_FE_MSR,CMYT_CO_FE_MSR,CMYT_CO2_FE_MSR,CMYT_NOX_MSR,CMYT_PM_MSR,GT_RND_ADJ_QTY,TPF_DYN_TRK_A_MSR,TPF_DYN_TRK_B_MSR,TPF_DYN_TRK_C_MSR,TPF_EDYN_TRK_A_MSR,TPF_EDYN_TRK_B_MSR,TPF_EDYN_TRK_C_MSR,ENG_CD,EF_ID,VC_CYL_CNT,TPF_MFR_CSTDN_MSR
2001,20,Chrysler LLC,15,V0AN5-8311,4,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,4,2,4250,9.1,3.55,29.6,Y,13.5,2,2,31,1031120,MFR,6,C,A,0.33,0.090,1.08,547,0.03,,16.2,,,,,,,NM-200,1CRXT03.92D1,6,13.95
2001,20,Chrysler LLC,15,V0AN5-8311,4,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,4,2,4250,9.1,3.55,29.6,Y,13.5,2,3,31,1031121,MFR,6,H,A,0.33,0.013,0.07,348,,,25.5,,,,,,,NM-200,1CRXT03.92D1,6,13.95
2001,20,Chrysler LLC,15,V0AN5-8311,5,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,4,2,4250,9.1,3.55,29.6,Y,13.4,3,2,31,1031118,MFR,6,C,A,0.67,0.092,1.30,504,0.01,,17.6,,,,,,,NM-200,1CRXT03.92D1,6,13.28
2001,20,Chrysler LLC,15,V0AN5-8311,5,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,4,2,4250,9.1,3.55,29.6,Y,13.4,3,3,31,1031119,MFR,6,H,A,0.67,0.008,0.08,341,,,26.1,,,,,,,NM-200,1CRXT03.92D1,6,13.28
2001,20,Chrysler LLC,15,V0AN1-8298,0,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,R,2,4500,9.1,3.55,32.8,Y,12.4,2,2,31,1031577,MFR,6,C,D,0.33,0.048,0.82,584,0.03,,15.2,,,,,,,NM-101,1CRXT03.92D1,6,
2001,20,Chrysler LLC,15,V0AN1-8298,0,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,R,2,4500,9.1,3.55,32.8,Y,12.4,2,3,31,1031578,MFR,6,H,D,0.33,0.002,0.01,346,,,25.7,,,,,,,NM-101,1CRXT03.92D1,6,15.02
2001,20,Chrysler LLC,15,V0AN1-8298,1,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,R,2,4500,9.1,3.55,32.8,Y,12.4,3,2,31,1031575,MFR,6,C,D,0.67,0.046,0.79,503,0.03,,17.6,,,,,,,NM-101,1CRXT03.92D1,6,
2001,20,Chrysler LLC,15,V0AN1-8298,1,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,R,2,4500,9.1,3.55,32.8,Y,12.4,3,3,31,1031576,MFR,6,H,D,0.67,0.002,0,339,,,26.2,,,,,,,NM-101,1CRXT03.92D1,6,15.02
2001,20,Chrysler LLC,15,V0AN1-8298,2,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,R,2,4000,9.1,3.21,29.7,Y,11.4,1,2,31,1031196,MFR,6,C,E,0.67,0.052,0.85,493,0.02,,18.0,,,,,,,NM-100,1CRXT03.92D1,6,
2001,20,Chrysler LLC,15,V0AN1-8298,2,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,R,2,4000,9.1,3.21,29.7,Y,11.4,1,3,31,1031197,MFR,6,H,E,0.67,0.003,0.02,313,,,28.4,,,,,,,NM-100,1CRXT03.92D1,6,14.45
