,book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency
60,morning,Saturday,STYLE,JJ,COLOR,JOANNE,2,137,Wednesday,afternoon,0,1,446,7,5,2,4,0,0,0,3
61,,Saturday,COLOR,JJ,COLOR,JOANNE,2,137,Wednesday,afternoon,0,1,446,7,5,2,4,0,0,0,3
62,afternoon,Tuesday,STYLE,BECKY,COLOR,JJ,1,0,Saturday,,0,0,498,9,6,3,4,1,0,0,3
63,morning,Tuesday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,1,0
64,afternoon,Wednesday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
65,evening,Wednesday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
66,,Thursday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,1,0
67,,Saturday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,1,0
68,evening,Thursday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
69,afternoon,Tuesday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
70,afternoon,Tuesday,COLOR,JOANNE,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
71,afternoon,Sunday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
72,afternoon,Saturday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
73,morning,Wednesday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
74,morning,Wednesday,STYLE,SINEAD,STYLE,SINEAD,1,70,Wednesday,morning,0,0,70,1,1,0,0,0,0,0,56
75,afternoon,Tuesday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
76,morning,Thursday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
77,morning,Thursday,COLOR,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
78,morning,Saturday,STYLE,BECKY,COLOR,BECKY,2,95,Thursday,morning,0,1,95,2,1,1,2,0,0,0,37
79,morning,Saturday,COLOR,JOANNE,COLOR,BECKY,2,95,Thursday,morning,0,1,95,2,1,1,2,0,0,0,37
80,afternoon,Thursday,STYLE,BECKY,COLOR,JOANNE,2,120,Saturday,morning,0,1,215,4,2,2,4,0,0,0,33
81,afternoon,Thursday,COLOR,JOANNE,COLOR,JOANNE,2,120,Saturday,morning,0,1,215,4,2,2,4,0,0,0,33
82,afternoon,Saturday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
83,afternoon,Saturday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
84,afternoon,Saturday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
85,afternoon,Saturday,COLOR,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
86,afternoon,Sunday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
87,afternoon,Friday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
88,afternoon,Friday,STYLE,JJ,STYLE,JJ,1,70.73,Friday,afternoon,0,1,40,1,1,0,1,0,0,0,84
89,morning,Tuesday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
90,evening,Thursday,STYLE,JJ,STYLE,JJ,1,40,Tuesday,morning,0,0,40,1,1,0,0,0,0,0,51
91,evening,Tuesday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
92,evening,Friday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
93,evening,Thursday,STYLE,JJ,STYLE,JJ,1,119.8,Friday,evening,0,1,82,1,1,0,1,0,0,0,41
94,evening,Tuesday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
95,afternoon,Friday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
96,afternoon,Wednesday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
97,afternoon,Wednesday,COLOR,KELLY,STYLE,KELLY,1,55,Wednesday,afternoon,0,0,55,1,1,0,0,0,0,0,14
98,evening,Thursday,COLOR,JOANNE,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
99,morning,Thursday,COLOR,JOANNE,COLOR,JOANNE,1,65,Thursday,evening,0,0,65,1,0,1,0,0,0,0,35
100,afternoon,Wednesday,COLOR,JOANNE,COLOR,JOANNE,1,70,Thursday,morning,0,0,135,2,0,2,0,0,0,0,27
101,afternoon,Saturday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
102,morning,Saturday,COLOR,JOANNE,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
103,morning,Saturday,COLOR,JOANNE,COLOR,JOANNE,2,282,Saturday,morning,0,1,282,2,1,1,2,0,0,1,28
104,afternoon,Friday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
105,afternoon,Saturday,COLOR,JOANNE,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
106,afternoon,Wednesday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
107,morning,Wednesday,COLOR,JOANNE,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
108,afternoon,Wednesday,STYLE,JJ,COLOR,JOANNE,2,182,Wednesday,morning,0,1,182,2,1,1,2,0,0,0,14
109,afternoon,Saturday,STYLE,JJ,STYLE,JJ,1,52,Wednesday,afternoon,0,0,234,3,2,1,2,0,0,0,45
110,morning,Wednesday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
111,afternoon,Tuesday,STYLE,JJ,STYLE,JJ,1,40,Wednesday,morning,0,0,40,1,1,0,0,0,0,0,34
112,morning,Saturday,STYLE,JJ,STYLE,JJ,1,60,Tuesday,afternoon,0,0,100,2,2,0,0,0,0,0,32
113,morning,Wednesday,STYLE,JJ,STYLE,JJ,1,110.4,Saturday,morning,0,1,160,3,3,0,1,0,0,0,32
114,evening,Tuesday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
115,morning,Wednesday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
116,,Thursday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
117,morning,Thursday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
118,afternoon,Thursday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
119,morning,Saturday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
120,evening,Thursday,MISC,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
121,,Saturday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,1,0
122,afternoon,Tuesday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,1,0
123,morning,Tuesday,COLOR,JOANNE,,,0,0,,,0,0,0,0,0,0,0,0,0,1,0
124,afternoon,Tuesday,MISC,BECKY,COLOR,JOANNE,2,0,Tuesday,morning,1,0,0,2,1,1,0,0,2,0,49
125,morning,Thursday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
126,afternoon,Saturday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
127,morning,Monday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
128,,Tuesday,STYLE,BECKY,STYLE,BECKY,1,60,Monday,morning,0,0,60,1,1,0,0,0,0,1,99
129,evening,Thursday,COLOR,JOANNE,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
130,afternoon,Friday,COLOR,JOANNE,COLOR,JOANNE,1,120,Thursday,evening,0,0,120,1,0,1,0,0,0,0,29
131,,Friday,COLOR,JOANNE,COLOR,JOANNE,1,120,Thursday,evening,0,0,120,1,0,1,0,0,0,0,29
132,morning,Wednesday,COLOR,JOANNE,COLOR,JOANNE,1,120,Friday,,0,0,360,3,0,3,0,1,0,0,40
133,afternoon,Saturday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
134,evening,Thursday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
