,sonnet_index,syllables,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,word_list,sonnet_num,author,polarity,subjectivity
21,26,10,unstress,stress,stress,stress,unstress,stress,unstress,missing,missing,stress,missing,missing,"['Were', 'an', 'all', 'eating', 'shame', 'and', 'thriftless', 'praise']",2,Shakespeare,0.0,0.0
22,27,10,stress,stress,stress,stress,missing,missing,stress,stress,unstress,stress,missing,missing,"['How', 'much', 'more', 'praise', 'deserv', 'thy', 'beauty', 'use']",2,Shakespeare,0.5,0.5
23,28,11,unstress,stress,missing,missing,stress,unstress,unstress,stress,stress,stress,stress,missing,"['If', 'thou', 'couldst', 'answer', 'This', 'fair', 'child', 'of', 'mine']",3,Shakespeare,0.7,0.9
24,29,10,stress,stress,stress,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,"['Shall', 'sum', 'my', 'count', 'and', 'make', 'my', 'old', 'excuse']",3,Shakespeare,0.025,0.125
25,30,10,stress,unstress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Proving', 'his', 'beauty', 'by', 'succession', 'thine']",3,Shakespeare,0.0,0.0
26,31,10,unstress,stress,unstress,stress,stress,stress,stress,stress,stress,stress,missing,missing,"['This', 'were', 'to', 'be', 'new', 'made', 'when', 'thou', 'art', 'old']",3,Shakespeare,0.118181818182,0.327272727273
27,32,10,unstress,stress,stress,stress,stress,stress,stress,missing,unstress,stress,missing,missing,"['And', 'see', 'thy', 'blood', 'warm', 'when', 'thou', 'feelst', 'it', 'cold']",3,Shakespeare,0.0,0.8
28,36,11,stress,stress,stress,stress,unstress,stress,unstress,stress,stress,missing,missing,missing,"['Look', 'in', 'thy', 'glass', 'and', 'tell', 'the', 'face', 'thou', 'viewest']",3,Shakespeare,0.0,0.0
29,37,11,stress,stress,unstress,stress,unstress,stress,stress,stress,missing,missing,missing,missing,"['Now', 'is', 'the', 'time', 'that', 'face', 'should', 'form', 'another;']",3,Shakespeare,0.0,0.0
30,38,11,stress,stress,unstress,stress,unstress,stress,stress,stress,missing,missing,missing,missing,"['Whose', 'fresh', 'repair', 'if', 'now', 'thou', 'not', 'renewest']",3,Shakespeare,0.3,0.5
31,39,12,stress,stress,unstress,stress,stress,stress,missing,missing,stress,stress,unstress,missing,"['Thou', 'dost', 'beguile', 'the', 'world', 'unbless', 'some', 'mother']",3,Shakespeare,0.0,0.0
32,40,10,unstress,stress,unstress,stress,stress,stress,stress,missing,missing,stress,missing,missing,"['For', 'where', 'is', 'she', 'so', 'fair', 'whose', 'unear', 'womb']",3,Shakespeare,0.7,0.9
33,41,10,unstress,stress,unstress,missing,missing,stress,stress,stress,unstress,unstress,missing,missing,"['Disdains', 'the', 'tillage', 'of', 'thy', 'husbandry']",3,Shakespeare,0.0,0.0
34,42,10,unstress,stress,unstress,stress,stress,stress,unstress,stress,unstress,stress,missing,missing,"['Or', 'who', 'is', 'he', 'so', 'fond', 'will', 'be', 'the', 'tomb']",4,Shakespeare,0.0,0.0
35,43,10,unstress,stress,stress,stress,unstress,stress,unstress,stress,unstress,unstress,missing,missing,"['Of', 'his', 'self', 'love', 'to', 'stop', 'posterity']",4,Shakespeare,0.5,0.6
36,44,9,stress,stress,stress,stress,unstress,stress,unstress,stress,unstress,missing,missing,missing,"['Thou', 'art', 'thy', 'mother', 'glass', 'and', 'she', 'in', 'thee']",4,Shakespeare,0.0,0.0
37,45,12,stress,stress,unstress,stress,unstress,stress,unstress,unstress,stress,missing,missing,missing,"['Calls', 'back', 'the', 'lovely', 'April', 'of', 'her', 'prime;']",4,Shakespeare,0.25,0.375
38,46,10,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,missing,missing,"['So', 'thou', 'through', 'windows', 'of', 'thine', 'age', 'shalt', 'see']",4,Shakespeare,0.0,0.0
39,47,9,unstress,stress,unstress,stress,unstress,stress,stress,unstress,stress,missing,missing,missing,"['Despite', 'of', 'wrinkles', 'this', 'thy', 'golden', 'time']",4,Shakespeare,0.3,0.5
40,48,10,stress,stress,stress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['But', 'if', 'thou', 'live', 'remember', 'not', 'to', 'be']",4,Shakespeare,0.136363636364,0.5
41,49,9,stress,stress,unstress,stress,stress,stress,unstress,stress,unstress,missing,missing,missing,"['Die', 'single', 'and', 'thine', 'image', 'dies', 'with', 'thee']",4,Shakespeare,-0.0714285714286,0.214285714286
42,53,11,missing,missing,missing,missing,missing,missing,missing,stress,stress,stress,stress,missing,"['Unthrifty', 'loveliness', 'why', 'dost', 'thou', 'spend']",4,Shakespeare,0.0,0.0
43,54,10,unstress,stress,stress,stress,stress,stress,unstress,stress,unstress,unstress,missing,missing,"['Upon', 'thy', 'self', 'thy', 'beauty', 'legacy']",4,Shakespeare,0.0,0.0
44,55,10,stress,unstress,unstress,stress,stress,stress,unstress,stress,stress,stress,missing,missing,"['Nature', 'bequest', 'gives', 'nothing', 'but', 'doth', 'lend']",4,Shakespeare,0.0,0.0
45,56,8,unstress,stress,stress,stress,stress,stress,stress,stress,missing,missing,missing,missing,"['And', 'being', 'frank', 'she', 'lends', 'to', 'those', 'are', 'free']",5,Shakespeare,0.4,0.8
46,57,10,stress,missing,missing,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,"['Then', 'beauteous', 'niggard', 'why', 'dost', 'thou', 'abuse']",5,Shakespeare,0.0,0.0
47,58,9,unstress,missing,missing,stress,unstress,stress,unstress,stress,unstress,missing,missing,missing,"['The', 'bounteous', 'largess', 'given', 'thee', 'to', 'give']",5,Shakespeare,0.0,0.0
48,59,10,missing,missing,missing,missing,missing,missing,stress,stress,stress,stress,missing,missing,"['Profitless', 'usurer', 'why', 'dost', 'thou', 'use']",5,Shakespeare,0.0,0.0
49,60,10,stress,stress,unstress,stress,unstress,stress,stress,missing,stress,stress,missing,missing,"['So', 'great', 'a', 'sum', 'of', 'sums', 'yet', 'canst', 'not', 'live']",5,Shakespeare,0.365909090909,0.625
50,61,10,unstress,stress,unstress,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,"['For', 'having', 'traffic', 'with', 'thy', 'self', 'alone']",5,Shakespeare,0.0,0.0
51,62,10,stress,stress,stress,stress,stress,stress,stress,stress,unstress,stress,missing,missing,"['Thou', 'of', 'thy', 'self', 'thy', 'sweet', 'self', 'dost', 'deceive']",5,Shakespeare,0.35,0.65
52,63,9,stress,stress,stress,stress,unstress,stress,stress,stress,unstress,missing,missing,missing,"['Then', 'how', 'when', 'nature', 'calls', 'thee', 'to', 'be', 'gone']",5,Shakespeare,0.0,0.0
53,64,10,stress,unstress,stress,unstress,unstress,stress,unstress,missing,stress,stress,missing,missing,"['What', 'acceptable', 'audit', 'canst', 'thou', 'leave']",5,Shakespeare,0.0,0.0
54,65,9,stress,unstress,stress,stress,unstress,stress,unstress,missing,unstress,missing,missing,missing,"['Thy', 'unused', 'beauty', 'must', 'be', 'tombed', 'with', 'thee']",5,Shakespeare,0.0,0.0
55,66,10,stress,stress,stress,stress,unstress,stress,unstress,unstress,unstress,stress,missing,missing,"['Which', 'used', 'lives', 'th', 'executor', 'to', 'be']",5,Shakespeare,0.0,0.0
56,70,9,stress,stress,unstress,stress,stress,unstress,stress,stress,stress,missing,missing,missing,"['Those', 'hours', 'that', 'with', 'gentle', 'work', 'did', 'frame']",6,Shakespeare,0.2,0.8
57,71,12,unstress,stress,unstress,stress,stress,stress,unstress,unstress,stress,stress,stress,missing,"['The', 'lovely', 'gaze', 'where', 'every', 'eye', 'doth', 'dwell']",6,Shakespeare,0.5,0.75
58,72,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Will', 'play', 'the', 'tyrants', 'to', 'the', 'very', 'same']",6,Shakespeare,0.0,0.1625
59,73,10,unstress,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,missing,missing,"['And', 'that', 'unfair', 'which', 'fairly', 'doth', 'excel;']",6,Shakespeare,0.1,0.95
60,74,10,unstress,stress,unstress,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,"['For', 'never', 'resting', 'time', 'leads', 'summer', 'on']",6,Shakespeare,0.0,0.0
61,75,11,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,missing,missing,missing,"['To', 'hideous', 'winter', 'and', 'confounds', 'him', 'there;']",6,Shakespeare,0.0,0.0
62,76,10,stress,stress,unstress,stress,unstress,stress,unstress,stress,stress,stress,missing,missing,"['Sap', 'checked', 'with', 'frost', 'and', 'lusty', 'leaves', 'quite', 'gone']",6,Shakespeare,0.0,0.0
63,77,12,stress,unstress,missing,stress,unstress,missing,missing,missing,stress,unstress,unstress,stress,"['Beauty', 'oer', 'snowed', 'and', 'bareness', 'every', 'where']",6,Shakespeare,0.0,0.0
64,78,10,stress,stress,stress,stress,unstress,unstress,stress,unstress,stress,missing,missing,missing,"['Then', 'were', 'not', 'summer', 'distillation', 'left']",6,Shakespeare,0.0,0.0
65,79,11,unstress,stress,unstress,stress,unstress,stress,stress,stress,stress,stress,missing,missing,"['A', 'liquid', 'prisoner', 'pent', 'in', 'walls', 'of', 'glass']",6,Shakespeare,0.0,0.0
66,80,10,stress,unstress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Beauty', 'effect', 'with', 'beauty', 'were', 'bereft']",6,Shakespeare,0.0,0.0
67,81,10,stress,stress,stress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Nor', 'it', 'nor', 'no', 'remembrance', 'what', 'it', 'was']",6,Shakespeare,0.0,0.0
68,82,11,stress,stress,unstress,missing,missing,stress,stress,stress,stress,unstress,stress,missing,"['But', 'flowers', 'distilld', 'though', 'they', 'with', 'winter', 'meet']",6,Shakespeare,0.0,0.0
69,83,10,stress,stress,stress,missing,stress,stress,unstress,stress,stress,stress,missing,missing,"['Leese', 'but', 'their', 'show;', 'their', 'substance', 'still', 'lives', 'sweet']",6,Shakespeare,0.35,0.65
70,88,9,stress,stress,stress,stress,unstress,stress,stress,unstress,stress,missing,missing,missing,"['Then', 'let', 'not', 'winter', 'ragged', 'hand', 'deface']",7,Shakespeare,0.0,0.0
71,89,9,unstress,stress,stress,stress,stress,stress,stress,missing,missing,missing,missing,missing,"['In', 'thee', 'thy', 'summer', 'ere', 'thou', 'be', 'distilld']",7,Shakespeare,0.0,0.0
72,90,9,stress,stress,stress,missing,stress,unstress,stress,stress,stress,missing,missing,missing,"['Make', 'sweet', 'some', 'vial;', 'treasure', 'thou', 'some', 'place']",7,Shakespeare,0.35,0.65
73,91,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,stress,missing,missing,missing,"['With', 'beauty', 'treasure', 'ere', 'it', 'be', 'self', 'killd']",7,Shakespeare,0.0,0.0
74,92,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,unstress,missing,missing,"['That', 'use', 'is', 'not', 'forbidden', 'usury']",7,Shakespeare,0.0,0.0
75,93,10,stress,missing,missing,stress,unstress,stress,unstress,stress,unstress,missing,missing,missing,"['Which', 'happies', 'those', 'that', 'pay', 'the', 'willing', 'loan;']",7,Shakespeare,0.25,0.75
76,94,9,unstress,stress,stress,stress,unstress,stress,unstress,stress,unstress,missing,missing,missing,"['That', 'for', 'thy', 'self', 'to', 'breed', 'another', 'thee']",7,Shakespeare,0.0,0.0
77,95,11,unstress,stress,stress,stress,unstress,stress,unstress,stress,unstress,missing,missing,missing,"['Or', 'ten', 'times', 'happier', 'be', 'it', 'ten', 'for', 'one;']",7,Shakespeare,0.0,0.0
78,96,10,stress,stress,stress,stress,unstress,stress,unstress,stress,stress,stress,missing,missing,"['Ten', 'times', 'thy', 'self', 'were', 'happier', 'than', 'thou', 'art']",7,Shakespeare,0.0,0.0
79,97,9,unstress,stress,unstress,stress,stress,stress,missing,missing,missing,missing,missing,missing,"['If', 'ten', 'of', 'thine', 'ten', 'times', 'refigur', 'thee']",7,Shakespeare,0.0,0.0
80,98,11,stress,stress,stress,stress,stress,unstress,stress,missing,unstress,stress,missing,missing,"['Then', 'what', 'could', 'death', 'do', 'if', 'thou', 'shouldst', 'depart']",8,Shakespeare,0.0,0.0
81,99,9,stress,unstress,stress,stress,stress,missing,missing,missing,missing,missing,missing,missing,"['Leaving', 'thee', 'living', 'in', 'posterity']",8,Shakespeare,0.0,0.0
82,100,10,unstress,stress,stress,missing,unstress,stress,stress,stress,stress,stress,missing,missing,"['Be', 'not', 'self', 'willd', 'for', 'thou', 'art', 'much', 'too', 'fair']",8,Shakespeare,0.45,0.55
83,101,10,unstress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,missing,missing,"['To', 'be', 'death', 'conquest', 'and', 'make', 'worms', 'thine', 'heir']",8,Shakespeare,0.0,0.0
84,105,10,stress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Lo', 'in', 'the', 'orient', 'when', 'the', 'gracious', 'light']",8,Shakespeare,0.4,0.7
85,106,10,stress,stress,unstress,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,"['Lifts', 'up', 'his', 'burning', 'head', 'each', 'under', 'eye']",8,Shakespeare,0.0,0.0
86,107,10,stress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Doth', 'homage', 'to', 'his', 'new', 'appearing', 'sight']",8,Shakespeare,0.136363636364,0.454545454545
87,108,9,stress,unstress,unstress,stress,unstress,stress,missing,missing,missing,missing,missing,missing,"['Serving', 'with', 'looks', 'his', 'sacred', 'majesty;']",8,Shakespeare,0.0,0.0
88,109,11,unstress,stress,unstress,stress,unstress,stress,stress,stress,unstress,unstress,stress,missing,"['And', 'having', 'climb', 'the', 'steep', 'up', 'heavenly', 'hill']",8,Shakespeare,0.0,0.0
89,110,10,unstress,stress,unstress,stress,stress,stress,unstress,stress,unstress,stress,missing,missing,"['Resembling', 'strong', 'youth', 'in', 'his', 'middle', 'age']",8,Shakespeare,0.216666666667,0.366666666667
90,111,10,stress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Yet', 'mortal', 'looks', 'adore', 'his', 'beauty', 'still']",8,Shakespeare,0.0,0.0
91,112,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,unstress,missing,missing,"['Attending', 'on', 'his', 'golden', 'pilgrimage']",9,Shakespeare,0.3,0.5
92,113,10,stress,stress,unstress,missing,missing,stress,unstress,stress,unstress,stress,missing,missing,"['But', 'when', 'from', 'highmost', 'pitch', 'with', 'weary', 'car']",9,Shakespeare,0.0,0.0
93,114,10,stress,stress,unstress,stress,stress,missing,missing,stress,unstress,stress,missing,missing,"['Like', 'feeble', 'age', 'he', 'reeleth', 'from', 'the', 'day']",9,Shakespeare,-0.5,1.0
94,115,10,unstress,stress,stress,missing,missing,stress,unstress,stress,unstress,stress,missing,missing,"['The', 'eyes', 'fore', 'duteous', 'now', 'converted', 'are']",9,Shakespeare,0.0,0.0
95,116,10,unstress,stress,stress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['From', 'his', 'low', 'tract', 'and', 'look', 'another', 'way']",9,Shakespeare,0.0,0.3
96,117,9,stress,stress,missing,missing,stress,unstress,stress,stress,missing,missing,missing,missing,"['So', 'thou', 'thyself', 'outgoing', 'in', 'thy', 'noon']",9,Shakespeare,0.0,0.0
97,118,10,missing,missing,stress,missing,unstress,stress,stress,stress,unstress,stress,missing,missing,"['Unlookd', 'on', 'diest', 'unless', 'thou', 'get', 'a', 'son']",9,Shakespeare,0.0,0.0
98,122,11,stress,unstress,unstress,stress,stress,stress,stress,stress,unstress,stress,unstress,missing,"['Music', 'to', 'hear', 'why', 'hearst', 'thou', 'music', 'sadly']",9,Shakespeare,-0.5,1.0
99,123,10,stress,stress,stress,stress,stress,stress,unstress,stress,unstress,stress,missing,missing,"['Sweets', 'with', 'sweets', 'war', 'not', 'joy', 'delights', 'in', 'joy']",9,Shakespeare,0.2,0.2
100,124,11,stress,missing,stress,stress,stress,stress,missing,missing,stress,stress,unstress,missing,"['Why', 'lovst', 'thou', 'that', 'which', 'thou', 'receivst', 'not', 'gladly']",9,Shakespeare,-0.25,1.0
101,125,10,unstress,stress,missing,missing,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Or', 'else', 'receivst', 'with', 'pleasure', 'thine', 'annoy']",9,Shakespeare,0.0,0.0
102,126,8,unstress,stress,stress,stress,stress,stress,stress,missing,missing,missing,missing,missing,"['If', 'the', 'true', 'concord', 'of', 'well', 'tuned', 'sounds']",10,Shakespeare,0.35,0.65
103,127,10,stress,stress,unstress,stress,unstress,stress,unstress,stress,stress,stress,missing,missing,"['By', 'unions', 'married', 'do', 'offend', 'thine', 'ear']",10,Shakespeare,0.25,0.25
104,128,9,stress,stress,stress,stress,unstress,stress,stress,stress,missing,missing,missing,missing,"['They', 'do', 'but', 'sweetly', 'chide', 'thee', 'who', 'confounds']",10,Shakespeare,0.35,0.65
105,129,10,unstress,missing,missing,missing,unstress,stress,unstress,stress,missing,stress,missing,missing,"['In', 'singleness', 'the', 'parts', 'that', 'thou', 'shouldst', 'bear']",10,Shakespeare,0.0,0.0
106,130,11,stress,stress,stress,stress,stress,stress,unstress,stress,unstress,stress,unstress,missing,"['Mark', 'how', 'one', 'string', 'sweet', 'husband', 'to', 'another']",10,Shakespeare,0.35,0.65
107,131,10,stress,stress,unstress,stress,stress,stress,unstress,missing,missing,missing,missing,missing,"['Strikes', 'each', 'in', 'each', 'by', 'mutual', 'ordering;']",10,Shakespeare,0.0,0.0
108,132,11,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,missing,"['Resembling', 'sire', 'and', 'child', 'and', 'happy', 'mother']",10,Shakespeare,0.8,1.0
109,133,10,stress,stress,unstress,stress,stress,stress,unstress,stress,stress,stress,missing,missing,"['Who', 'all', 'in', 'one', 'one', 'pleasing', 'note', 'do', 'sing']",10,Shakespeare,0.0,0.0
110,134,10,stress,stress,unstress,stress,stress,stress,unstress,stress,unstress,stress,missing,missing,"['Whose', 'speechless', 'song', 'being', 'many', 'seeming', 'one']",10,Shakespeare,0.5,0.5
111,135,9,stress,stress,unstress,stress,stress,stress,stress,stress,missing,missing,missing,missing,"['Sings', 'this', 'to', 'thee', 'Thou', 'single', 'wilt', 'prove', 'none']",10,Shakespeare,-0.0714285714286,0.214285714286
112,139,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Is', 'it', 'for', 'fear', 'to', 'wet', 'a', 'widow', 'eye']",10,Shakespeare,-0.1,0.4
113,140,10,unstress,stress,missing,missing,stress,stress,unstress,stress,unstress,stress,missing,missing,"['That', 'thou', 'consumst', 'thy', 'self', 'in', 'single', 'life']",11,Shakespeare,-0.0714285714286,0.214285714286
114,141,10,stress,stress,stress,stress,unstress,unstress,stress,stress,unstress,stress,missing,missing,"['Ah', 'if', 'thou', 'issueless', 'shalt', 'hap', 'to', 'die']",11,Shakespeare,0.0,0.0
115,142,11,unstress,stress,unstress,stress,stress,stress,unstress,missing,missing,missing,missing,missing,"['The', 'world', 'will', 'wail', 'thee', 'like', 'a', 'makeless', 'wife;']",11,Shakespeare,0.0,0.0
116,143,10,unstress,stress,unstress,stress,stress,stress,unstress,stress,stress,stress,missing,missing,"['The', 'world', 'will', 'be', 'thy', 'widow', 'and', 'still', 'weep']",11,Shakespeare,0.0,0.0
117,144,9,unstress,stress,stress,stress,unstress,stress,stress,stress,missing,missing,missing,missing,"['That', 'thou', 'no', 'form', 'of', 'thee', 'hast', 'left', 'behind']",11,Shakespeare,-0.2,0.35
118,145,11,stress,stress,unstress,stress,unstress,stress,unstress,stress,stress,stress,missing,missing,"['When', 'every', 'private', 'widow', 'well', 'may', 'keep']",11,Shakespeare,0.0,0.375
119,146,10,stress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['By', 'children', 'eyes', 'her', 'husband', 'shape', 'in', 'mind']",11,Shakespeare,0.0,0.0
120,147,10,stress,stress,unstress,missing,missing,stress,unstress,stress,stress,stress,missing,missing,"['Look', 'what', 'an', 'unthrift', 'in', 'the', 'world', 'doth', 'spend']",11,Shakespeare,0.0,0.0
121,148,11,stress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Shifts', 'but', 'his', 'place', 'for', 'still', 'the', 'world', 'enjoys', 'it;']",11,Shakespeare,0.0,0.0
122,149,10,stress,stress,unstress,stress,stress,stress,unstress,stress,unstress,stress,missing,missing,"['But', 'beauty', 'waste', 'hath', 'in', 'the', 'world', 'an', 'end']",11,Shakespeare,-0.2,0.0
123,150,11,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,missing,"['And', 'kept', 'unused', 'the', 'user', 'so', 'destroys', 'it']",11,Shakespeare,0.0,0.0
124,151,11,stress,stress,unstress,stress,stress,unstress,unstress,stress,stress,unstress,stress,missing,"['No', 'love', 'toward', 'others', 'in', 'that', 'bosom', 'sits']",11,Shakespeare,-0.25,0.6
125,152,10,unstress,stress,unstress,stress,stress,missing,missing,stress,unstress,stress,missing,missing,"['That', 'on', 'himself', 'such', 'murdrous', 'shame', 'commits']",11,Shakespeare,0.0,0.5
126,156,10,unstress,stress,unstress,stress,unstress,stress,missing,stress,unstress,stress,missing,missing,"['For', 'shame', 'deny', 'that', 'thou', 'bearst', 'love', 'to', 'any']",12,Shakespeare,0.5,0.6
127,157,10,stress,stress,stress,stress,stress,stress,missing,missing,missing,missing,missing,missing,"['Who', 'for', 'thy', 'self', 'art', 'so', 'unprovident']",12,Shakespeare,0.0,0.0
128,158,11,stress,stress,stress,stress,stress,stress,stress,unstress,unstress,stress,unstress,missing,"['Grant', 'if', 'thou', 'wilt', 'thou', 'art', 'belov', 'of', 'many']",12,Shakespeare,0.5,0.5
129,159,10,stress,stress,stress,stress,missing,stress,stress,stress,unstress,unstress,missing,missing,"['But', 'that', 'thou', 'none', 'lovst', 'is', 'most', 'evident']",12,Shakespeare,0.375,0.375
130,160,11,unstress,stress,stress,stress,unstress,stress,unstress,stress,unstress,unstress,stress,missing,"['For', 'thou', 'art', 'so', 'possess', 'with', 'murderous', 'hate']",12,Shakespeare,-0.8,0.9
131,161,10,unstress,missing,stress,stress,stress,missing,stress,stress,unstress,stress,missing,missing,"['That', 'gainst', 'thy', 'self', 'thou', 'stickst', 'not', 'to', 'conspire']",12,Shakespeare,0.0,0.0
132,162,9,stress,unstress,unstress,missing,missing,stress,unstress,missing,missing,missing,missing,missing,"['Seeking', 'that', 'beauteous', 'roof', 'to', 'ruinate']",12,Shakespeare,0.0,0.0
133,163,10,stress,stress,unstress,stress,stress,stress,stress,stress,unstress,stress,missing,missing,"['Which', 'to', 'repair', 'should', 'be', 'thy', 'chief', 'desire']",12,Shakespeare,0.0,0.0
134,164,10,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,missing,missing,"['O', 'change', 'thy', 'thought', 'that', 'I', 'may', 'change', 'my', 'mind']",12,Shakespeare,0.0,0.0
135,165,10,stress,stress,unstress,stress,unstress,missing,unstress,stress,unstress,stress,missing,missing,"['Shall', 'hate', 'be', 'fairer', 'lodg', 'than', 'gentle', 'love']",12,Shakespeare,-0.0333333333333,0.766666666667
136,166,10,unstress,stress,stress,stress,unstress,stress,stress,unstress,unstress,stress,missing,missing,"['Be', 'as', 'thy', 'presence', 'is', 'gracious', 'and', 'kind']",12,Shakespeare,0.6,0.9
