main_category_en,additives_n,ingredients_from_palm_oil_n,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,sodium_100g
Breakfasts,0.0,0.0,1398.0,0.5,0.2,81.5,80.8,0.5,0.5,0.0118
Seafood,0.0,0.0,789.0,9.5,2.6,0.6,0.1,0.7,24.8,1.27952755906
Groceries,2.0,0.0,792.0,0.0,0.0,48.6,43.2,0.0,0.0,0.784
Plant-based foods and beverages,1.0,0.0,1590.0,5.64,2.82,66.3,7.05,2.82,15.5,0.607
Dietary supplements,3.0,0.0,344.0,1.56,0.222,10.4,9.78,0.0,5.56,0.0444
Pies,8.0,0.0,1671.0,15.9,10.5,57.4,27.3,3.2,4.8,0.169
Sugary snacks,4.0,0.0,2130.0,27.4,15.7,62.7,35.3,0.0,3.92,0.176
Plant-based foods and beverages,7.0,0.0,279.0,4.65,0.0,51.2,6.98,2.33,9.3,0.465
Sugary snacks,3.0,0.0,2260.0,30.6,14.1,61.1,30.6,2.35,7.05,0.247
Sugary snacks,3.0,0.0,2210.0,26.5,11.8,64.7,32.4,2.94,5.88,0.176
Sugary snacks,3.0,0.0,2180.0,28.0,20.0,64.0,32.0,4.0,4.0,0.26
Plant-based foods and beverages,8.0,0.0,1170.0,3.49,0.0,51.2,4.65,2.33,9.3,0.512
Sugary snacks,3.0,0.0,2090.0,23.1,13.5,65.4,38.5,0.0,3.85,0.231
Sugary snacks,3.0,0.0,2090.0,23.1,13.5,65.4,38.5,0.0,3.85,0.231
Sugary snacks,3.0,0.0,2180.0,28.0,16.0,64.0,36.0,4.0,4.0,0.14
Sugary snacks,3.0,0.0,1930.0,19.2,11.5,69.2,19.2,3.85,7.69,0.308
Salty snacks,5.0,0.0,1950.0,16.7,3.33,66.7,3.33,3.33,10.0,0.8
Salty snacks,6.0,0.0,1950.0,16.7,3.33,63.3,3.33,3.33,13.3,0.9
Salty snacks,3.0,0.0,2090.0,20.0,1.67,66.7,3.33,3.33,10.0,0.767
Snacks,4.0,0.0,1950.0,16.7,3.33,66.7,0.0,3.33,10.0,0.833
Snacks,4.0,0.0,1950.0,16.7,3.33,66.7,0.0,3.33,10.0,0.833
Sugary snacks,7.0,1.0,2269.0,32.4,12.8,57.8,34.0,5.4,5.1,0.315
Sugary snacks,8.0,1.0,2131.0,25.3,13.9,66.5,34.8,5.8,3.8,0.314960629921
Sugary snacks,6.0,1.0,2230.0,30.4,14.3,60.1,32.6,4.2,4.9,0.275590551181
Sugary snacks,6.0,1.0,2238.0,31.3,13.9,58.7,30.4,3.6,5.0,0.314960629921
Sugary snacks,8.0,1.0,1946.0,19.2,10.6,67.3,41.7,5.7,5.3,0.196850393701
Salty snacks,11.0,0.0,1958.0,18.1,3.7,64.2,1.4,2.5,11.6,0.748031496063
Meats,0.0,0.0,778.0,12.3,5.9,0.0,0.0,0.0,19.0,0.0590551181102
Beverages,1.0,0.0,72.8,0.0,0.0,3.48,2.61,0.87,0.0,0.223
Steak-pie,3.0,0.0,1142.0,17.3,10.3,14.9,2.3,1.5,13.9,0.267716535433
Plant-based foods and beverages,1.0,0.0,1069.0,0.5,0.1,62.0,58.5,1.0,0.4,0.0394
Meats,0.0,0.0,837.0,12.7,5.6,0.0,0.0,0.0,21.6,0.0591
Lemongrass-paste,2.0,0.0,450.0,8.6,0.6,4.2,1.8,6.1,0.7,0.169
Sugary snacks,11.0,0.0,1510.0,6.0,2.0,80.0,40.0,0.0,0.0,0.18
Sugary snacks,1.0,0.0,1890.0,14.3,1.19,69.0,28.6,4.76,9.52,0.381
Sugary snacks,1.0,0.0,1890.0,16.7,2.38,66.7,26.2,4.76,11.9,0.429
Plant-based foods and beverages,4.0,0.0,1490.0,7.14,1.79,71.4,3.57,10.7,10.7,0.5
Plant-based foods and beverages,4.0,0.0,357.0,7.14,1.79,71.4,3.57,10.7,10.7,0.5
Plant-based foods and beverages,3.0,0.0,1540.0,6.12,1.02,81.6,28.6,12.2,8.16,0.449
Plant-based foods and beverages,8.0,0.0,1570.0,4.69,0.0,84.4,31.2,3.12,3.12,0.5
Plant-based foods and beverages,6.0,0.0,1700.0,3.7,0.0,81.5,37.0,7.41,7.41,0.63
Plant-based foods and beverages,5.0,0.0,1640.0,5.36,0.0,78.6,32.1,7.14,7.14,0.571
Cake-mix,13.0,0.0,1560.0,3.49,2.33,81.4,41.9,2.33,2.33,0.744
Mashed-potatoes,1.0,0.0,1640.0,0.0,0.0,82.6,0.0,4.35,8.7,0.109
Mix,7.0,0.0,1670.0,8.57,4.29,77.1,45.7,2.86,5.71,0.514
Sugary snacks,3.0,0.0,1790.0,14.3,2.86,65.7,25.7,5.71,5.71,0.371
Plant-based foods and beverages,4.0,0.0,1640.0,5.36,0.0,78.6,32.1,7.14,7.14,0.571
Plant-based foods and beverages,5.0,0.0,1610.0,3.85,0.0,84.6,30.8,3.85,3.85,0.442
Plant-based foods and beverages,3.0,0.0,1490.0,7.14,1.79,71.4,3.57,10.7,0.0,0.5
Plant-based foods and beverages,3.0,0.0,1550.0,1.85,0.0,85.2,7.41,3.7,7.41,0.815
Breakfasts,8.0,0.0,1510.0,12.0,6.0,72.0,32.0,20.0,4.0,0.32
Olives,2.0,0.0,748.0,18.5,3.3,1.7,1.2,2.2,1.1,1.25984251969
Coconut-creams,1.0,0.0,916.0,22.5,20.8,2.85,0.0,0.0,2.06,0.0157
Beverages,1.0,0.0,266.0,0.0,0.0,15.8,13.3,0.303,0.0,0.00909
Sugary snacks,7.0,0.0,2034.0,20.2,10.3,68.0,31.3,2.1,6.7,0.189
Bison,0.0,0.0,704.0,9.73,3.54,0.0,0.0,0.0,20.4,0.0531
Farming products,0.0,0.0,547.0,9.0,2.5,0.1,0.1,0.0,12.6,0.15
Preparation-for-dessert,4.0,0.0,1100.0,20.9,12.1,16.9,15.1,0.5,2.1,0.0591
Sugary snacks,8.0,0.0,1383.0,9.8,3.5,55.0,39.6,4.2,3.2,0.11
Salad,0.0,0.0,90.0,0.5,0.1,2.3,1.6,1.3,1.3,0.1
Dairies,0.0,0.0,1681.0,33.0,20.1,3.0,0.5,0.5,23.8,0.700787401575
Plant-based foods and beverages,0.0,0.0,62.0,0.5,0.1,0.7,0.1,1.0,1.6,0.0276
Dairies,0.0,0.0,202.0,1.75,1.15,4.6,4.6,0.25,3.5,0.0394
Peels,2.0,0.0,1291.0,0.8,0.3,71.2,52.8,6.2,0.5,0.11
Plant-based foods and beverages,0.0,0.0,2666.0,56.0,4.4,6.5,4.0,7.4,25.0,0.0157
Plant-based foods and beverages,0.0,0.0,2666.0,56.0,4.4,6.5,4.0,7.4,25.0,0.0157
Carbonated-soda-water,1.0,0.0,4.2,0.5,0.1,0.5,0.5,0.5,0.5,0.0157480314961
Plant-based foods and beverages,1.0,0.0,2603.0,62.0,53.4,6.1,6.1,13.7,5.6,0.0
Sweeteners,0.0,0.0,1698.0,0.5,0.1,99.9,99.9,0.5,0.5,0.00394
Plant-based foods and beverages,3.0,0.0,1610.0,1.92,0.0,80.8,21.2,9.62,9.62,0.0
Sweeteners,0.0,0.0,1698.0,0.5,0.1,99.9,99.9,0.5,0.5,0.00394
Sweeteners,1.0,0.0,1695.0,0.5,0.1,99.7,99.7,0.5,0.5,0.00394
Dairies,0.0,0.0,282.0,4.0,2.6,4.5,4.5,0.5,3.3,0.0394
Cereales,1.0,0.0,1130.0,1.92,0.0,57.7,11.5,19.2,25.0,0.163
Plant-based foods and beverages,0.0,0.0,354.0,0.0,0.0,16.2,0.0,5.38,5.38,0.277
Spreads,2.0,0.0,1460.0,35.0,22.5,5.0,5.0,0.0,5.0,0.325
Dairies,2.0,0.0,1640.0,32.1,17.9,3.57,0.0,0.0,25.0,0.643
Plant-based foods and beverages,6.0,0.0,1420.0,1.41,0.705,70.5,7.05,2.82,11.3,0.804
fr:Pain-a-l-ail,1.0,0.0,1330.0,11.9,6.6,41.4,2.3,3.1,9.3,1.0
Breakfasts,6.0,0.0,1230.0,11.5,1.28,39.7,8.97,2.56,6.41,0.423
Plant-based foods and beverages,0.0,0.0,264.0,1.05,0.0,12.6,5.26,2.11,2.11,0.211
Groceries,1.0,0.0,234.0,0.8,0.0,9.6,5.6,2.4,2.4,0.368
