main_category_en,additives_n,ingredients_from_palm_oil_n,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,sodium_100g
Beverages,1.0,0.0,120.0,0.0,0.0,7.2,7.2,0.0,0.0,0.0
Desserts,9.0,0.0,688.0,4.4,2.9,28.5,25.0,0.6,2.0,0.0393700787402
Desserts,7.0,0.0,1174.0,13.0,7.8,35.0,24.0,1.3,4.4,0.0551181102362
Desserts,7.0,0.0,642.0,3.0,1.8,29.4,23.7,1.0,1.3,0.0197
Desserts,10.0,0.0,568.0,6.9,4.9,16.0,13.8,0.3,2.1,0.0394
Desserts,6.0,0.0,860.0,9.9,5.6,25.8,24.6,1.7,2.4,0.0315
Desserts,5.0,0.0,735.0,6.9,4.6,24.5,21.1,0.2,3.3,0.0708661417323
Desserts,3.0,0.0,768.0,8.0,5.2,26.1,22.4,1.7,4.0,0.110236220472
Desserts,3.0,0.0,737.0,6.9,4.6,24.8,21.9,0.5,3.4,0.0708661417323
Desserts,1.0,0.0,491.0,0.0,0.0,28.2,25.3,0.3,0.3,0.0
Desserts,4.0,0.0,424.0,4.4,2.9,13.2,11.3,0.1,1.9,0.04
Desserts,4.0,0.0,796.0,7.8,5.2,25.9,23.0,0.8,3.5,0.0669291338583
Desserts,4.0,0.0,896.0,10.0,6.5,26.0,25.2,2.0,4.0,2.46062992126
Desserts,1.0,0.0,769.0,8.0,5.2,23.1,22.4,1.7,4.0,0.110236220472
Desserts,7.0,0.0,802.0,6.6,4.4,26.6,20.8,0.3,2.8,0.0590551181102
Desserts,9.0,0.0,1076.0,13.0,7.1,29.0,27.0,0.5,4.2,0.102
Sugary snacks,6.0,0.0,1271.0,16.7,10.4,32.9,27.3,1.7,4.7,0.0984251968504
Frozen foods,4.0,0.0,799.0,14.6,5.2,7.4,4.1,2.0,6.9,0.5
Frozen foods,13.0,0.0,804.0,14.0,8.1,11.0,8.5,3.4,4.3,0.275590551181
Desserts,5.0,0.0,1611.0,21.8,15.5,41.7,28.6,2.6,4.4,0.0984
Frozen foods,5.0,1.0,1137.0,17.6,10.1,21.6,2.2,0.0,7.0,0.374015748031
Pie dough,0.0,0.0,1707.0,26.3,18.4,37.0,1.4,1.2,5.6,0.346456692913
Pie dough,1.0,0.0,1690.0,22.4,15.7,43.7,3.9,1.5,6.2,0.45
fr:Crepes-fourrees,0.0,0.0,654.0,6.3,1.5,16.6,2.7,1.2,8.3,0.374015748031
fr:Galettes-au-jambon-fromage,2.0,0.0,954.0,13.0,5.6,14.0,3.0,1.0,14.0,0.433070866142
Plant-based foods and beverages,0.0,0.0,67.0,0.2,0.0,2.0,1.9,1.9,0.6,0.0275590551181
Plant-based foods and beverages,0.0,0.0,159.0,0.2,0.0,2.1,2.1,9.0,2.6,0.056
Plant-based foods and beverages,0.0,0.0,41.0,0.3,0.1,7.0,6.0,2.2,1.4,0.0002
Plant-based foods and beverages,0.0,0.0,146.0,0.3,0.0,4.6,4.1,3.5,1.7,0.00787
Plant-based foods and beverages,0.0,0.0,131.0,0.9,0.2,2.1,1.8,1.6,2.9,0.00393700787402
Plant-based foods and beverages,0.0,0.0,111.0,0.3,0.0,3.0,0.0,1.6,2.1,0.0149606299213
fr:Poelee-de-legumes,1.0,0.0,234.0,2.6,0.5,5.0,3.2,3.4,1.5,0.110236220472
Plant-based foods and beverages,0.0,0.0,226.0,0.6,0.1,6.1,3.1,4.1,4.0,0.063
Plant-based foods and beverages,0.0,0.0,201.0,2.0,0.2,4.5,3.4,3.1,1.4,0.291338582677
Frozen foods,0.0,0.0,314.0,0.8,0.0,0.0,0.0,0.0,17.0,0.0866
fr:Filets-de-brosme-surgele,0.0,0.0,373.0,1.3,0.2,0.0,0.0,0.0,19.1,0.11811023622
Frozen foods,0.0,0.0,786.0,12.5,2.6,0.0,0.0,0.0,19.0,0.0393700787402
Meats,0.0,0.0,864.0,15.0,7.1,0.0,0.0,0.0,18.0,0.0590551181102
Frozen foods,0.0,0.0,369.0,2.4,0.4,11.0,3.4,0.0,5.3,0.188976377953
Meals,2.0,0.0,374.0,2.06,0.303,10.6,2.06,1.52,6.36,0.215
Frozen foods,2.0,0.0,562.0,4.3,1.4,17.0,1.8,0.8,6.3,0.248031496063
Groceries,0.0,0.0,450.0,8.8,5.9,5.3,2.0,1.3,1.4,0.590551181102
Waffles,2.0,0.0,1294.0,16.9,1.4,32.6,27.3,2.1,5.8,0.0944881889764
Frozen foods,7.0,0.0,1924.0,28.7,18.2,45.5,31.3,2.2,4.2,0.209
Frozen foods,15.0,0.0,1429.0,23.0,13.0,28.0,24.0,1.2,4.9,0.0472
fr:Crepes-sucrees,0.0,0.0,1476.0,6.4,3.6,61.6,31.6,0.0,10.4,0.523622047244
Sugary snacks,1.0,0.0,2065.0,29.0,20.0,54.0,27.0,1.0,3.9,0.267716535433
Sugary snacks,1.0,0.0,2065.0,29.0,20.0,54.0,27.0,1.0,3.9,0.267716535433
Sugary snacks,7.0,0.0,1841.0,23.0,16.0,55.0,34.0,1.1,2.7,0.185039370079
Sugary snacks,6.0,0.0,1870.0,19.0,13.0,63.0,27.0,0.9,5.2,0.389763779528
Sugary snacks,11.0,0.0,1451.0,13.0,6.9,52.0,30.0,1.8,4.2,0.259842519685
Sugary snacks,13.0,0.0,1475.0,13.0,8.5,53.0,27.0,2.0,4.5,0.255905511811
Sugary snacks,13.0,0.0,1475.0,13.0,8.5,53.0,27.0,2.0,4.5,0.255905511811
Sugary snacks,8.0,0.0,1825.0,21.0,14.0,56.0,34.0,2.0,4.7,0.291338582677
Pickles,0.0,0.0,40.0,0.5,0.01,0.3,0.2,2.6,0.8,0.229527559055
fr:Smoothie-framboise-myrtille,0.0,0.0,284.0,0.1,0.0,15.3,15.2,1.5,0.5,0.0
Dairies,3.0,0.0,407.0,2.6,1.8,15.0,15.0,0.0,3.3,0.047
Dairies,4.0,0.0,465.0,2.8,1.8,18.0,18.0,0.0,3.1,0.046
Dairies,0.0,0.0,299.0,1.9,1.3,11.4,11.4,0.0,2.0,0.0312
Beverages,2.0,0.0,160.0,0.1,0.1,9.5,9.2,1.2,0.2,0.0008
Beverages,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00131
Plant-based foods and beverages,1.0,0.0,249.0,0.5,0.16,12.5,11.2,1.4,0.5,0.0
Plant-based foods and beverages,1.0,0.0,248.0,0.5,0.19,12.3,11.1,1.3,0.5,0.0
Dairies,4.0,0.0,581.0,7.3,5.3,14.8,13.2,2.8,2.2,0.00787
Dairies,6.0,0.0,572.0,7.0,3.9,15.8,14.5,0.8,2.2,0.00787401574803
Dairies,4.0,0.0,609.0,7.6,5.5,16.7,15.4,2.0,2.0,0.00787401574803
Dairies,5.0,0.0,581.0,7.3,5.3,14.8,13.2,2.8,2.2,0.00787401574803
Desserts,6.0,0.0,577.0,7.1,3.9,16.0,16.0,2.1,1.4,0.00787401574803
Plant-based foods and beverages,1.0,0.0,410.0,0.5,0.1,22.0,18.0,2.2,0.5,0.00394
Plant-based foods and beverages,1.0,0.0,410.0,0.6,0.2,21.8,16.2,1.6,0.5,0.0
Plant-based foods and beverages,1.0,0.0,307.0,0.4,0.16,16.0,15.0,1.5,0.4,0.0
Plant-based foods and beverages,1.0,0.0,396.0,0.6,0.18,20.9,19.8,1.5,0.5,0.00354330708661
Plant-based foods and beverages,1.0,0.0,263.0,0.6,0.23,13.0,11.7,1.5,0.4,0.0
Plant-based foods and beverages,1.0,0.0,243.0,0.3,0.1,12.4,11.1,1.4,0.6,0.0
Plant-based foods and beverages,1.0,0.0,398.0,0.6,0.11,20.3,17.7,1.4,1.2,0.0
Plant-based foods and beverages,1.0,0.0,230.0,0.6,0.18,11.3,10.2,1.4,0.4,0.0
Plant-based foods and beverages,1.0,0.0,255.0,0.4,0.12,12.8,11.0,1.8,0.4,0.0
Plant-based foods and beverages,1.0,0.0,297.0,0.6,0.18,15.3,14.6,1.4,0.5,0.0
Plant-based foods and beverages,1.0,0.0,249.0,0.5,0.16,12.5,11.2,1.4,0.5,0.0
Plant-based foods and beverages,1.0,0.0,258.0,0.6,0.19,12.8,11.8,1.4,0.5,0.0
Plant-based foods and beverages,1.0,0.0,263.0,0.6,0.23,13.0,11.7,1.5,0.4,0.0
Plant-based foods and beverages,1.0,0.0,253.0,0.5,0.18,12.4,11.3,1.9,0.5,0.0
Plant-based foods and beverages,1.0,0.0,247.0,0.5,0.19,12.3,11.1,1.3,0.5,0.0
Plant-based foods and beverages,1.0,0.0,257.0,0.5,0.19,13.0,11.9,1.3,0.4,0.0
Plant-based foods and beverages,2.0,0.0,329.0,0.4,0.15,17.1,14.9,1.4,0.7,0.0
Plant-based foods and beverages,1.0,0.0,251.0,0.5,0.18,12.6,11.6,1.4,0.4,0.0
Plant-based foods and beverages,1.0,0.0,251.0,0.7,0.18,12.2,11.1,1.6,0.5,0.0
Plant-based foods and beverages,0.0,0.0,238.0,0.6,0.18,11.7,10.7,1.8,0.4,0.0
Plant-based foods and beverages,2.0,0.0,255.0,0.4,0.12,12.8,11.0,1.8,0.4,0.0
Plant-based foods and beverages,1.0,0.0,263.0,0.6,0.23,13.0,11.7,1.5,0.4,0.0
Plant-based foods and beverages,1.0,0.0,243.0,0.3,0.1,12.4,11.1,1.4,0.6,0.0
Plant-based foods and beverages,1.0,0.0,302.0,0.6,0.18,15.3,14.6,1.4,0.5,0.0
Plant-based foods and beverages,1.0,0.0,302.0,0.6,0.18,15.3,14.6,1.4,0.5,0.0
Plant-based foods and beverages,1.0,0.0,220.0,0.6,0.18,10.5,9.6,1.4,0.5,0.0011811023622
Plant-based foods and beverages,1.0,0.0,322.0,0.6,0.2,16.5,15.3,1.5,0.5,0.0
Plant-based foods and beverages,0.0,0.0,1483.0,1.2,0.3,71.0,3.2,3.5,12.0,0.0
Plant-based foods and beverages,1.0,0.0,800.0,0.6,0.1,41.8,39.9,1.9,0.7,0.0015
Groceries,0.0,0.0,302.0,2.11,0.3,10.0,7.3,1.9,2.3,0.334645669291
Plant-based foods and beverages,1.0,0.0,678.0,0.3,0.0,38.9,38.8,0.1,0.3,0.000905511811024
Plant-based foods and beverages,1.0,0.0,738.0,0.1,0.1,40.3,39.3,1.0,0.4,0.0011811023622
Plant-based foods and beverages,1.0,0.0,693.0,0.1,0.0,39.7,38.7,1.0,0.4,0.688976377953
Plant-based foods and beverages,1.0,0.0,676.0,0.2,0.0,37.4,34.8,2.6,0.7,0.000708661417323
Plant-based foods and beverages,0.0,0.0,184.0,2.2,0.4,4.3,3.1,1.1,1.2,0.236220472441
Plant-based foods and beverages,0.0,0.0,158.0,1.5,0.8,4.7,1.0,1.3,0.7,0.276
Plant-based foods and beverages,1.0,0.0,93.6,0.4,0.12,4.0,1.32,0.52,0.4,0.279
Plant-based foods and beverages,0.0,0.0,68.0,0.4,0.1,2.7,0.6,0.5,0.2,0.259842519685
Plant-based foods and beverages,0.0,0.0,60.0,0.3,0.1,2.2,0.8,0.6,0.4,0.267716535433
Plant-based foods and beverages,0.0,0.0,155.0,1.0,0.5,5.7,1.1,0.9,0.8,0.157480314961
Sugary snacks,1.0,0.0,1635.9,6.1,1.62,71.6,1.6,5.0,14.0,0.0826771653543
Sugary snacks,1.0,0.0,1635.9,6.1,1.62,71.6,1.6,5.0,14.0,0.0330708661417
Breakfasts,1.0,0.0,1635.9,6.1,1.62,71.6,1.6,5.0,14.0,0.084
Sugary snacks,0.0,0.0,473.0,17.9,1.6,68.9,54.2,3.3,7.5,0.0295275590551
Sugary snacks,0.0,0.0,1869.0,15.4,1.2,63.9,52.9,6.2,9.6,0.0295275590551
Sugary snacks,0.0,0.0,447.0,15.4,2.4,66.4,52.8,4.3,8.6,0.0295275590551
Sugary snacks,1.0,0.0,1635.9,6.1,1.62,71.6,1.6,5.0,14.0,0.084
Fruit juices,1.0,0.0,195.0,0.02,0.0,11.3,11.3,0.5,0.09,0.00197
Plant-based foods and beverages,1.0,0.0,586.0,0.0,0.0,31.4,20.5,3.3,1.1,0.011811023622
Plant-based foods and beverages,0.0,0.0,228.0,0.14,0.0,12.9,10.6,2.0,0.2,0.002
Plant-based foods and beverages,0.0,0.0,228.0,0.1,0.0,12.9,10.8,2.0,0.2,0.00196850393701
Terrine,1.0,0.0,922.0,17.4,3.7,2.4,0.2,0.8,13.7,0.405511811024
Seafood,4.0,0.0,874.0,15.6,2.3,6.4,0.3,3.0,9.7,0.61811023622
Seafood,2.0,0.0,749.0,12.8,3.2,4.5,1.0,1.8,10.7,0.594488188976
Seafood,2.0,0.0,858.0,14.8,2.91,0.2,0.2,1.2,17.8,0.259842519685
Meals,1.0,0.0,720.0,8.6,4.2,15.0,1.2,1.6,7.9,0.287401574803
Meals,1.0,0.0,432.0,5.4,0.9,5.9,3.5,3.5,6.1,0.267716535433
Meals,2.0,0.0,647.0,70.0,3.5,13.0,1.0,0.5,9.8,0.283464566929
Meals,1.0,0.0,509.0,5.14,1.31,13.1,3.14,2.2,4.86,0.314
Meals,2.0,0.0,695.0,11.7,6.14,8.9,3.4,1.1,5.6,0.28
Fresh foods,1.0,0.0,615.0,6.2,0.7,14.0,6.2,1.5,8.0,0.275590551181
Meals,2.0,0.0,527.0,3.9,1.1,14.9,1.8,2.6,6.4,0.3
Meals,0.0,0.0,607.0,7.14,4.29,12.9,1.39,1.39,6.43,0.281
Fresh foods,1.0,0.0,467.0,4.0,0.5,12.0,1.8,1.6,6.0,0.307086614173
Plant-based foods and beverages,4.0,0.0,758.0,10.3,5.53,15.4,2.3,1.2,6.2,0.307086614173
Fresh foods,2.0,0.0,604.0,5.6,1.15,15.9,2.9,1.6,6.7,0.236220472441
Fresh foods,0.0,0.0,481.0,4.5,0.4,10.5,3.0,0.5,8.0,0.7
Canned foods,6.0,0.0,761.0,8.3,2.0,16.0,1.4,1.1,8.2,0.307086614173
Meals,0.0,0.0,585.0,7.5,2.2,9.1,3.1,2.1,8.0,0.31
Meals,1.0,0.0,435.0,2.7,1.26,11.5,0.2,0.6,8.2,0.255905511811
Meals,1.0,0.0,653.0,5.4,1.7,16.0,1.9,1.4,10.0,0.32
Meals,0.0,0.0,629.0,7.2,3.1,15.0,0.5,0.7,6.0,0.314960629921
Meals,0.0,0.0,365.0,4.2,2.26,5.5,3.4,1.8,6.0,0.27
Meals,3.0,0.0,491.0,4.4,2.8,11.0,2.9,1.3,7.7,0.287401574803
Meats,1.0,0.0,449.0,2.6,1.4,10.9,2.1,0.1,9.8,0.7
Meals,1.0,0.0,519.0,6.7,3.7,9.9,4.7,1.0,5.6,0.311023622047
Meals,1.0,0.0,632.0,9.4,5.4,7.9,2.8,1.0,8.3,0.28
Meals,1.0,0.0,671.0,6.2,2.22,13.0,1.5,0.5,13.0,0.315
Meals,0.0,0.0,565.0,3.5,0.9,19.0,0.6,0.5,6.4,0.464566929134
Meals,0.0,0.0,737.0,8.4,2.4,18.0,2.5,1.9,6.2,0.255905511811
Meals,0.0,0.0,570.0,5.8,2.0,14.0,3.2,1.7,6.1,0.314960629921
Meals,2.0,0.0,556.0,5.5,1.6,13.3,1.8,2.0,6.8,0.22
Meals,0.0,0.0,690.0,7.8,8.8,16.4,1.8,1.0,6.8,0.27
Meals,1.0,0.0,394.0,3.7,1.93,7.1,1.6,0.9,7.6,0.23
Fresh foods,0.0,0.0,564.0,5.3,1.91,14.3,1.0,0.5,7.1,0.28
Fresh foods,4.0,0.0,629.0,7.3,1.4,13.0,1.6,0.5,8.1,0.236220472441
Fresh foods,0.0,0.0,502.0,4.0,0.4,13.0,3.0,0.5,7.5,0.629921259843
Fresh foods,0.0,0.0,464.0,4.5,0.4,8.7,3.0,0.5,8.8,0.7
Fresh foods,0.0,0.0,499.0,7.9,4.5,3.7,1.7,1.2,7.9,0.236220472441
Meals,0.0,0.0,585.0,7.51,2.2,9.11,3.11,2.09,8.0,0.311
Meals,1.0,0.0,587.0,7.0,1.1,6.7,1.9,3.4,11.0,0.287401574803
Meals,0.0,0.0,625.0,7.1,2.8,13.0,3.0,0.6,8.0,0.287401574803
Fresh foods,0.0,0.0,693.0,11.2,7.5,6.9,2.9,2.8,8.2,0.307
Fresh foods,0.0,0.0,476.0,4.9,1.2,8.0,1.6,0.9,8.9,0.275590551181
Meals,0.0,0.0,649.0,7.9,2.8,13.0,1.1,0.6,7.7,0.299212598425
Fresh foods,6.0,0.0,761.0,8.3,2.0,18.0,1.4,1.1,8.2,0.307086614173
Fresh foods,0.0,0.0,729.0,8.4,2.4,17.5,2.5,1.9,6.2,0.26
Meals,1.0,0.0,628.0,7.9,3.7,12.0,1.3,1.2,7.1,0.308
Fresh foods,0.0,0.0,481.0,4.5,0.4,10.5,3.0,0.5,8.0,0.708661417323
Meals,1.0,0.0,492.0,7.67,2.4,5.67,2.9,2.3,5.33,0.328
Meals,1.0,0.0,594.0,8.3,5.2,8.9,2.9,1.0,7.5,0.255905511811
Meals,0.0,0.0,498.0,6.5,3.8,8.3,2.7,1.0,6.4,0.307086614173
Fresh foods,0.0,0.0,481.0,4.5,0.4,10.5,3.0,0.5,8.0,0.7
Meals,0.0,0.0,533.0,6.3,3.0,6.5,1.6,0.6,10.0,0.275590551181
Meals,0.0,0.0,703.0,9.5,2.86,14.5,2.3,1.9,5.3,0.28
Fresh foods,2.0,0.0,667.0,8.9,5.0,13.0,2.2,1.2,6.3,0.307086614173
Meals,3.0,0.0,511.0,7.5,4.62,4.3,3.3,1.1,7.6,0.29
Meals,0.0,0.0,528.0,6.1,4.1,12.0,1.3,2.3,4.7,0.2874
Meals,2.0,0.0,765.0,10.8,3.77,13.3,2.1,1.2,7.6,0.29
Fresh foods,5.0,0.0,627.0,5.4,2.0,18.0,1.2,1.3,6.5,0.354330708661
Fresh foods,3.0,0.0,703.0,8.8,3.71,14.4,2.6,1.5,7.1,0.37
Meals,2.0,0.0,561.0,5.5,1.6,13.3,1.8,2.0,6.8,0.22
Meals,4.0,0.0,425.0,5.9,3.7,3.4,2.8,1.2,8.2,0.295
Meals,4.0,0.0,755.0,9.3,4.9,14.0,3.2,1.2,9.6,0.295275590551
Meals,1.0,0.0,297.0,1.4,1.31,9.5,2.1,1.1,4.4,0.75
Meals,0.0,0.0,452.0,2.7,0.42,13.9,2.6,1.2,6.3,0.28
Meals,0.0,0.0,625.0,9.7,4.5,6.9,1.3,1.6,8.0,0.177165354331
Fresh foods,0.0,0.0,727.0,8.3,3.5,16.0,2.1,0.5,8.7,0.287401574803
Meals,1.0,0.0,503.0,4.5,2.75,10.7,3.11,1.29,8.46,0.3
Fresh foods,4.0,0.0,847.0,11.0,5.5,16.0,2.4,1.2,9.3,0.334645669291
Fresh foods,6.0,0.0,801.0,9.9,5.32,15.6,2.3,1.9,9.1,0.362204724409
Meals,1.0,0.0,440.0,2.7,1.26,11.5,0.2,0.6,8.2,0.26
Fresh foods,2.0,0.0,686.0,5.9,0.92,21.6,3.5,2.9,4.6,0.45
Fresh foods,0.0,0.0,481.0,4.5,0.4,10.5,3.0,0.5,8.0,0.708661417323
Fresh foods,1.0,0.0,481.0,4.5,0.4,10.5,3.0,0.5,8.0,0.7
Fresh foods,0.0,0.0,89.0,2.2,0.85,6.4,3.0,1.8,10.0,0.287401574803
Meals,1.0,0.0,441.0,6.1,3.8,6.9,2.7,1.6,5.0,0.326771653543
Meals,1.0,0.0,541.0,7.4,4.25,5.4,2.2,1.1,9.8,0.287401574803
Fresh foods,4.0,0.0,615.0,7.3,2.6,14.0,1.8,1.4,5.6,0.295275590551
Meals,1.0,0.0,415.0,5.3,2.4,5.8,2.6,1.8,6.2,0.216535433071
Fresh foods,0.0,0.0,481.0,4.5,0.4,10.5,3.0,0.5,8.0,0.708661417323
Meals,2.0,0.0,838.0,9.7,2.1,19.0,1.4,2.9,7.8,0.287401574803
Meals,3.0,0.0,735.0,5.5,1.0,20.0,1.1,4.4,9.2,0.326771653543
Meats,0.0,0.0,602.0,3.7,1.8,21.0,0.6,0.7,6.0,0.275590551181
Meals,4.0,0.0,779.0,10.0,1.4,12.0,1.3,2.3,11.0,0.267716535433
Meals,1.0,0.0,638.0,6.7,0.9,16.0,2.6,3.1,5.5,0.2952
Meals,0.0,0.0,829.0,6.4,2.5,21.0,1.5,2.1,6.3,0.2875
Meals,2.0,0.0,687.0,8.0,1.5,17.0,0.8,2.7,4.7,0.290236220472
Fresh foods,0.0,0.0,565.0,3.5,0.9,19.0,0.6,0.5,6.4,0.47
Meals,0.0,0.0,453.0,2.7,0.42,13.9,2.6,1.2,6.3,0.28
Fresh foods,0.0,0.0,579.0,5.9,2.5,16.0,0.8,1.5,4.5,0.295275590551
Fresh foods,0.0,0.0,378.0,2.6,1.8,11.0,0.8,1.4,4.9,0.295275590551
Fresh foods,0.0,0.0,363.0,2.8,0.3,8.6,2.4,2.2,5.6,0.267716535433
Meals,2.0,0.0,499.0,2.5,0.4,15.0,5.3,2.6,7.7,0.3
Fresh foods,2.0,0.0,513.0,4.8,0.6,12.0,1.4,4.7,5.5,0.267716535433
Meals,0.0,0.0,728.0,7.6,3.2,18.0,0.5,1.4,7.6,0.267716535433
Meals,2.0,0.0,596.0,6.43,2.11,12.9,0.786,1.89,7.14,0.309
Meals,3.0,0.0,550.0,4.5,0.6,17.0,3.5,2.0,4.6,0.275590551181
Meals,3.0,0.0,506.0,5.1,2.8,8.9,1.5,1.2,9.2,0.236220472441
Meals,1.0,0.0,742.0,9.5,4.5,16.0,1.5,1.2,6.4,0.314960629921
Meals,4.0,0.0,629.0,7.3,1.4,13.0,1.6,0.5,8.1,0.236220472441
Meals,0.0,0.0,724.0,10.0,1.7,12.0,0.6,1.7,8.0,0.275590551181
Fresh foods,0.0,0.0,484.0,4.5,0.4,11.2,2.8,0.5,7.5,0.708661417323
Meals,1.0,0.0,452.0,2.8,0.4,12.0,2.9,1.9,7.6,0.314960629921
Meals,1.0,0.0,572.0,4.3,1.7,16.0,0.5,0.5,8.3,0.314960629921
Meals,0.0,0.0,588.0,4.4,2.0,13.0,0.6,0.5,12.0,0.314960629921
Meals,0.0,0.0,610.0,4.8,2.4,12.0,0.5,0.9,13.0,0.314960629921
Meals,2.0,0.0,471.0,5.1,2.2,8.8,2.2,1.3,7.2,0.314960629921
Meals,1.0,0.0,722.0,8.4,2.5,18.0,0.6,0.5,6.2,0.314960629921
Meals,0.0,0.0,503.0,3.6,1.0,16.0,0.5,0.9,5.3,0.307086614173
Fresh foods,2.0,0.0,454.0,4.1,1.2,11.0,1.1,1.5,6.1,0.311023622047
Meals,1.0,0.0,569.0,7.3,2.6,11.0,0.7,1.7,5.8,0.314960629921
Plant-based foods and beverages,0.0,0.0,557.0,3.3,1.2,18.0,1.7,0.5,7.6,0.314960629921
Fresh foods,1.0,0.0,602.0,4.7,1.4,19.0,1.8,0.5,6.2,0.307086614173
Meals,1.0,0.0,437.0,2.6,1.0,11.0,0.9,0.8,8.7,0.311023622047
Meals,0.0,0.0,478.0,4.9,2.8,8.8,2.4,0.7,8.3,0.311023622047
Seafood,1.0,0.0,566.0,7.9,2.8,9.1,0.6,1.0,6.5,0.314960629921
Meals,0.0,0.0,616.0,6.1,2.0,13.0,1.9,1.2,9.4,0.311023622047
Plant-based foods and beverages,1.0,0.0,222.0,0.5,0.0,11.0,11.0,1.0,0.5,0.0393700787402
Plant-based foods and beverages,0.0,0.0,340.0,2.0,0.2,13.0,2.8,0.9,2.2,0.444881889764
Groceries,0.0,0.0,195.0,1.1,0.2,6.3,5.9,2.5,1.6,0.448818897638
Plant-based foods and beverages,0.0,0.0,1498.0,1.5,0.4,69.0,2.3,7.4,12.4,0.0393700787402
Plant-based foods and beverages,0.0,0.0,67.0,0.0,0.0,2.1,0.0,1.6,1.1,0.268
Plant-based foods and beverages,0.0,0.0,210.0,0.1,0.0,8.0,3.8,4.1,2.2,0.4
Meals,0.0,0.0,267.0,3.5,0.5,6.1,5.2,1.7,1.2,0.185039370079
Plant-based foods and beverages,2.0,0.0,264.0,1.9,0.5,7.4,2.8,3.6,2.3,0.216535433071
Plant-based foods and beverages,0.0,0.0,1604.0,1.1,0.2,59.1,6.4,18.0,24.4,0.01
Plant-based foods and beverages,0.0,0.0,1382.0,0.9,0.2,45.5,4.2,16.9,25.9,0.01
fr:Preparation-pour-galette,0.0,0.0,1548.0,3.22,1.04,63.96,2.87,4.7,13.69,0.783464566929
Frozen foods,15.0,1.0,862.0,10.4,1.8,9.7,0.0,0.3,18.2,0.114960629921
Canned foods,1.0,0.0,644.0,8.0,0.0,18.4,0.0,1.0,2.1,0.590551181102
Plant-based foods and beverages,1.0,0.0,538.0,0.4,0.0,30.5,30.5,3.9,0.8,0.0124
Frozen foods,13.0,0.0,296.0,18.3,9.2,25.3,3.4,2.3,6.4,0.472440944882
Canned foods,2.0,0.0,150.0,1.3,0.3,0.5,0.0,1.3,5.3,0.393700787402
Meals,10.0,0.0,954.0,13.9,8.7,17.4,4.1,3.2,6.8,0.472
Meals,8.0,1.0,1006.0,13.6,7.5,22.8,2.2,2.7,5.5,0.350393700787
Sugary snacks,6.0,0.0,581.0,0.2,0.2,55.8,0.0,0.0,0.0,0.0
Green olives,6.0,0.0,583.0,13.4,2.4,1.9,0.5,3.0,1.8,1.0905511811
Plant-based foods and beverages,0.0,0.0,2541.0,50.2,7.4,10.3,5.5,8.2,26.1,0.393700787402
Plant-based foods and beverages,0.0,0.0,2546.0,50.4,8.1,9.7,5.5,8.5,26.2,0.397637795276
Plant-based foods and beverages,0.0,0.0,2541.0,50.2,7.4,10.3,5.5,8.2,26.1,0.393700787402
Plant-based foods and beverages,0.0,0.0,2540.0,50.4,8.0,9.6,5.6,8.4,26.4,0.408
Olives,2.0,0.0,707.0,15.7,2.4,0.3,0.1,5.7,4.4,1.1811023622
Plant-based foods and beverages,2.0,0.0,418.0,4.0,0.5,0.0,0.0,11.4,10.3,1.1811023622
Salty snacks,0.0,0.0,1964.0,18.8,2.7,58.9,2.6,3.6,13.9,0.866
Sugary snacks,3.0,1.0,1719.0,17.8,8.5,54.6,1.1,7.9,7.7,0.00393700787402
Plant-based foods and beverages,3.0,1.0,1747.0,17.4,8.5,59.3,13.2,6.4,6.2,0.00393700787402
Salty snacks,0.0,1.0,1749.0,19.0,9.2,49.3,1.2,8.5,8.3,0.885826771654
Sugary snacks,4.0,1.0,1747.0,17.4,8.5,59.3,13.2,6.4,6.2,0.00393700787402
Plant-based foods and beverages,1.0,0.0,2459.0,47.1,6.3,10.6,5.6,9.6,26.9,0.590551181102
Plant-based foods and beverages,0.0,0.0,1070.0,0.19,0.072,52.3,37.9,5.85,2.36,0.00393700787402
Sugary snacks,2.0,0.0,2190.0,30.0,14.6,61.5,49.2,3.85,6.92,16.2
Plant-based foods and beverages,1.0,0.0,133.0,0.5,0.1,3.5,0.7,2.0,2.3,0.492125984252
Seafood,6.0,0.0,224.0,0.3,0.1,1.0,1.0,0.0,11.5,0.196850393701
Canned foods,3.0,0.0,224.0,0.3,0.1,1.0,1.0,0.0,11.5,0.196850393701
Seafood,3.0,0.0,224.0,0.3,0.1,1.0,1.0,0.0,11.5,0.5
Canned foods,3.0,0.0,273.0,0.4,0.2,1.2,0.9,0.0,14.0,0.5
Plant-based foods and beverages,0.0,0.0,929.0,2.7,0.27,46.0,5.9,57.6,14.5,0.0086
Plant-based foods and beverages,0.0,0.0,1474.0,1.8,0.26,65.0,2.4,12.5,11.9,0.00866141732283
Plant-based foods and beverages,0.0,0.0,1427.0,3.0,1.0,61.0,2.0,11.0,12.0,0.00787401574803
Plant-based foods and beverages,0.0,0.0,1530.0,6.83,1.17,56.0,1.33,11.0,14.0,0.0
fr:Graines-de-millet,0.0,0.0,1491.0,4.2,0.7,64.4,0.5,8.5,11.0,0.00393700787402
