"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"30","30","Saturday, May 8 (1)","boxscore","BAL","@","MIN","W","7","3","","9-21","5","13.5","Guthrie","Liriano","","2:36","D","38,608","++"
"31","31","Saturday, May 8 (2)","boxscore","BAL","@","MIN","L","1","6","","9-22","5","13.5","Baker","Millwood","","2:23","N","38,863","-"
"32","32","Sunday, May 9","boxscore","BAL","@","MIN","L","0","6","","9-23","5","13.5","Blackburn","Matusz","","2:24","D","38,641","--"
"33","33","Tuesday, May 11","boxscore","BAL","","SEA","L","1","5","","9-24","5","14.0","Lee","Hernandez","League","2:32","N","12,614","---"
"34","34","Wednesday, May 12","boxscore","BAL","","SEA","W","5","2","","10-24","5","14.0","Bergesen","Rowland-Smith","Simon","2:48","N","11,448","+"
"35","35","Thursday, May 13","boxscore","BAL","","SEA","W","6","5","","11-24","5","13.5","Hendrickson","League","Simon","2:32","D","20,938","++"
"36","36","Friday, May 14","boxscore","BAL","","CLE","W","8","1","","12-24","5","12.5","Guthrie","Masterson","","2:45","N","25,902","+++"
"37","37","Saturday, May 15","boxscore","BAL","","CLE","L","2","8","","12-25","5","13.5","Talbot","Simon","","2:53","N","29,545","-"
"38","38","Sunday, May 16","boxscore","BAL","","CLE","L","1","5","","12-26","5","14.5","Westbrook","Hendrickson","","2:17","D","29,323","--"
"39","39","Monday, May 17","boxscore","BAL","","KCR","L","3","4","","12-27","5","15.5","Davies","Bergesen","Soria","2:43","N","9,299","---"
"40","40","Tuesday, May 18","boxscore","BAL","","KCR","W-wo","4","3","10","13-27","5","15.5","Simon","Bullington","","2:55","N","9,715","+"
"41","41","Wednesday, May 19","boxscore","BAL","@","TEX","L-wo","3","4","","13-28","5","16.5","Francisco","Meredith","","3:11","N","22,321","-"
"42","42","Thursday, May 20","boxscore","BAL","@","TEX","L","7","13","","13-29","5","17.5","Feldman","Matusz","","3:34","N","17,304","--"
"43","43","Friday, May 21","boxscore","BAL","@","WSN","W","5","3","","14-29","5","16.5","Hernandez","Olsen","Simon","3:23","N","27,378","+"
"44","44","Saturday, May 22","boxscore","BAL","@","WSN","L","6","7","","14-30","5","17.5","Walker","Hendrickson","Capps","2:58","D","30,290","-"
"45","45","Sunday, May 23","boxscore","BAL","@","WSN","L-wo","3","4","10","14-31","5","18.5","Slaten","Meredith","","3:17","D","27,535","--"
