"Model Year","Vehicle Manufacturer Name","Veh Mfr Code","Represented Test Veh Make","Represented Test Veh Model","Test Vehicle ID","Test Veh Configuration #","Test Veh Displacement (L)","Actual Tested Testgroup","Vehicle Type","Rated Horsepower","# of Cylinders and Rotors","Engine Code","Tested Transmission Type Code","Tested Transmission Type","# of Gears","Transmission Lockup?","Drive System Code","Drive System Description","Transmission Overdrive Code","Transmission Overdrive Desc","Equivalent Test Weight (lbs.)","Axle Ratio","N/V Ratio","Shift Indicator Light Use Cd","Shift Indicator Light Use Desc","Test Number","Test Originator","Analytically Derived FE?","ADFE Test Number","ADFE Total Road Load HP","ADFE Equiv. Test Weight (lbs.)","ADFE N/V Ratio","Test Procedure Cd","Test Procedure Description","Test Fuel Type Cd","Test Fuel Type Description","Test Category","THC (g/mi)","CO (g/mi)","CO2 (g/mi)","NOx (g/mi)","PM (g/mi)","CH4 (g/mi)","N2O (g/mi)","RND_ADJ_FE","FE_UNIT","FE Bag 1","FE Bag 2","FE Bag 3","FE Bag 4","DT-Inertia Work Ratio Rating","DT-Absolute Speed Change Ratg","DT-Energy Economy Rating","Target Coef A (lbf)","Target Coef B (lbf/mph)","Target Coef C (lbf/mph**2)","Set Coef A (lbf)","Set Coef B (lbf/mph)","Set Coef C (lbf/mph**2)","Aftertreatment Device Cd","Aftertreatment Device Desc","Police - Emergency Vehicle?","Averaging Group ID","Averaging Weighting Factor","Averaging Method Cd","Averging Method Desc"
2014,"Audi","ADX","AUDI","A4","D3UB-BMQ",1,1.984,"DADXV02.03UB","Car",211,4,"CAEB","M","Manual",6,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",3875,3.69,31.2,"2","Equipped, not shifted by SIL","DADX10020120","MFR","No","",,,,"95","SC03","61","Tier 2 Cert Gasoline","SC03",0.01,0.84,368,0.016,,,,24.1,"MPG",,,,,,,,36.194,0.32916,0.017635,3.934,-0.045,0.019497,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4","D3UB-BMQ",1,1.984,"DADXV02.03UB","Car",211,4,"CAEB","M","Manual",6,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",3875,3.69,31.2,"2","Equipped, not shifted by SIL","DADX10020121","MFR","No","",,,,"11","Cold CO","27","Cold CO Premium (Tier 2)","FTP",0.1815,3.02,363,0.034,,0.0197,,24.1,"MPG",22.2,23.2,28.2,,,,,39.814,0.36208,0.019398,4.328,0.01939,0.021447,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4","D3UB-BMQ",1,1.984,"DADXV02.03UB","Car",211,4,"CAEB","M","Manual",6,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",3875,3.69,31.2,"2","Equipped, not shifted by SIL","DADX10020124","MFR","No","",,,,"90","US06","61","Tier 2 Cert Gasoline","US06",0.0216,0.78,301,0.027,,0.007,,29.4,"MPG",18.9,34.9,,,,,,36.194,0.32916,0.017635,3.934,-0.045,0.019497,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4","D3UB-BMQ",1,1.984,"DADXV02.03UB","Car",211,4,"CAEB","M","Manual",6,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",3875,3.69,31.2,"2","Equipped, not shifted by SIL","DADX10020477","MFR","No","",,,,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline","FTP",0.0233,0.73,314,0.018,,0.0048,0.01,28.2,"MPG",26.5,27.4,31.4,,,,,36.194,0.32916,0.017635,3.934,-0.045,0.019497,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4","D3UB-BMQ",1,1.984,"DADXV02.03UB","Car",211,4,"CAEB","M","Manual",6,"N","F","2-Wheel Drive, Front","2","Top gear ration < 1",3875,3.69,31.2,"2","Equipped, not shifted by SIL","DADX10020478","MFR","No","",,,,"3","HWFE","61","Tier 2 Cert Gasoline","HWY",0.0091,0.13,200,0.004,,0.0041,0.01,44.4,"MPG",,,,,,,,36.194,0.32916,0.017635,3.934,-0.045,0.019497,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4 Allroad","DFUB-BAA",0,1.984,"DADXV02.03UB","Car",211,4,"CPMA","SA","Semi-Automatic",8,"Y","F","2-Wheel Drive, Front","2","Top gear ration < 1",4250,3.08,26.9,"1","Not eqipped","DADX10020434","MFR","No","",,,,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline","FTP",0.0165,0.36,352,0.03,,0.0031,0.01,25.2,"MPG",23.9,24.5,27.8,,,,,39.117,0.46662,0.019788,2.54,0.46336,0.019206,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4 Allroad","DFUB-BAA",0,1.984,"DADXV02.03UB","Car",211,4,"CPMA","SA","Semi-Automatic",8,"Y","F","2-Wheel Drive, Front","2","Top gear ration < 1",4250,3.08,26.9,"1","Not eqipped","DADX10020437","MFR","No","",,,,"3","HWFE","61","Tier 2 Cert Gasoline","HWY",0.0084,0.16,238,0.006,,0.0038,0.01,37.3,"MPG",,,,,,,,39.117,0.46662,0.019788,2.54,0.46336,0.019206,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4 Allroad","DFUB-BAA",1,1.984,"DADXJ02.0FUB","Both",211,4,"CPMA","SA","Semi-Automatic",8,"Y","F","2-Wheel Drive, Front","2","Top gear ration < 1",4250,3.08,26.9,"1","Not eqipped","DADX10022269","MFR","No","",,,,"3","HWFE","38","E85 (85% Ethanol 15% EPA Unleaded Gasoline)","HWY",0.0033,0.102,242,0.0032,0,0.0029,0.01,25.6,"MPG",,,,,,,,39.117,0.46662,0.019788,2.54,0.46336,0.019206,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A4 Allroad","DFUB-BAA",1,1.984,"DADXJ02.0FUB","Both",211,4,"CPMA","SA","Semi-Automatic",8,"Y","F","2-Wheel Drive, Front","2","Top gear ration < 1",4250,3.08,26.9,"1","Not eqipped","DADX10022395","MFR","No","",,,,"21","Federal fuel 2-day exhaust (w/can load)","38","E85 (85% Ethanol 15% EPA Unleaded Gasoline)","FTP",0.0158,0.188,363,0.0213,0,0.0054,0.01,17.1,"MPG",16,16.6,19,,,,,39.117,0.46662,0.019788,2.54,0.46336,0.019206,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A5","DFUB-BAQ",0,1.984,"DADXV02.03UB","Car",211,4,"CPMA","SA","Semi-Automatic",8,"Y","F","2-Wheel Drive, Front","2","Top gear ration < 1",4000,2.85,26,"1","Not eqipped","DADX10020489","MFR","No","",,,,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline","FTP",0.0213,0.55,343,0.018,,0.0044,0.01,25.9,"MPG",24.9,24.8,29.1,,,,,36.869,0.44491,0.017402,0.09,0.52811,0.01554,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A5","DFUB-BAQ",0,1.984,"DADXV02.03UB","Car",211,4,"CPMA","SA","Semi-Automatic",8,"Y","F","2-Wheel Drive, Front","2","Top gear ration < 1",4000,2.85,26,"1","Not eqipped","DADX10020490","MFR","No","",,,,"3","HWFE","61","Tier 2 Cert Gasoline","HWY",0.0091,0.15,218,0.008,,0.004,0.01,40.7,"MPG",,,,,,,,36.869,0.44491,0.017402,0.09,0.52811,0.01554,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A5","DFUB-BAQ",1,1.984,"DADXV02.03UB","Car",211,4,"CPMA","SA","Semi-Automatic",8,"Y","F","2-Wheel Drive, Front","2","Top gear ration < 1",4250,2.85,26,"1","Not eqipped","DADX10020491","MFR","No","",,,,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline","FTP",0.0297,0.63,353,0.021,,0.005,0.01,25.1,"MPG",24.1,24.2,28,,,,,40.016,0.46662,0.018391,3.417,0.51364,0.016878,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A5","DFUB-BAQ",1,1.984,"DADXV02.03UB","Car",211,4,"CPMA","SA","Semi-Automatic",8,"Y","F","2-Wheel Drive, Front","2","Top gear ration < 1",4250,2.85,26,"1","Not eqipped","DADX10020492","MFR","No","",,,,"3","HWFE","61","Tier 2 Cert Gasoline","HWY",0.0085,0.17,224,0.007,,0.0036,0.01,39.6,"MPG",,,,,,,,40.016,0.46662,0.018391,3.417,0.51364,0.016878,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A5","DFUB-BAQ",2,1.984,"DADXJ02.0FUB","Both",211,4,"CPMA","SA","Semi-Automatic",8,"Y","F","2-Wheel Drive, Front","2","Top gear ration < 1",4000,2.85,26,"1","Not eqipped","DADX10022272","MFR","No","",,,,"3","HWFE","38","E85 (85% Ethanol 15% EPA Unleaded Gasoline)","HWY",0.0007,0.143,215,0.0036,,0.0004,0.01,28.8,"MPG",,,,,,,,36.869,0.44491,0.017402,0.09,0.52811,0.01554,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A5","DFUB-BAQ",2,1.984,"DADXJ02.0FUB","Both",211,4,"CPMA","SA","Semi-Automatic",8,"Y","F","2-Wheel Drive, Front","2","Top gear ration < 1",4000,2.85,26,"1","Not eqipped","DADX10022273","MFR","No","",,,,"21","Federal fuel 2-day exhaust (w/can load)","38","E85 (85% Ethanol 15% EPA Unleaded Gasoline)","FTP",0.0129,0.268,346,0.0301,,0.0043,0.01,17.9,"MPG",16.7,17.4,20,,,,,36.869,0.44491,0.017402,0.09,0.52811,0.01554,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A5","DFUB-BAQ",3,1.984,"DADXJ02.0FUB","Both",211,4,"CPMA","SA","Semi-Automatic",8,"Y","F","2-Wheel Drive, Front","2","Top gear ration < 1",4250,2.85,26,"1","Not eqipped","DADX10022274","MFR","No","",,,,"3","HWFE","38","E85 (85% Ethanol 15% EPA Unleaded Gasoline)","HWY",0.0007,0.121,220,0.0018,,0.0004,0.01,28.1,"MPG",,,,,,,,40.016,0.46662,0.018391,3.417,0.51364,0.016878,"TWC","Three-way catalyst","N","",,"N","No averaging"
2014,"Audi","ADX","AUDI","A5","DFUB-BAQ",3,1.984,"DADXJ02.0FUB","Both",211,4,"CPMA","SA","Semi-Automatic",8,"Y","F","2-Wheel Drive, Front","2","Top gear ration < 1",4250,2.85,26,"1","Not eqipped","DADX10022275","MFR","No","",,,,"21","Federal fuel 2-day exhaust (w/can load)","38","E85 (85% Ethanol 15% EPA Unleaded Gasoline)","FTP",0.015,0.272,355,0.0137,,0.0054,0.01,17.4,"MPG",16.3,17,19.5,,,,,40.016,0.46662,0.018391,3.417,0.51364,0.016878,"TWC","Three-way catalyst","N","",,"N","No averaging"
