"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"80","80","Tuesday, Jun 28","boxscore","CHW","@","COL","L-wo","2","3","13","38-42","3","5.0","Brothers","Ohman","","3:47","N","40,175","--"
"81","81","Wednesday, Jun 29","boxscore","CHW","@","COL","W","3","2","","39-42","3","4.0","Bruney","Street","Santos","2:24","N","35,973","+"
"82","82","Thursday, Jun 30","boxscore","CHW","@","COL","W","6","4","10","40-42","3","4.0","Crain","Mortensen","Santos","3:41","D","38,084","++"
"83","83","Friday, Jul 1","boxscore","CHW","@","CHC","W","6","4","","41-42","3","3.5","Jackson","Wells","Santos","2:43","D","41,486","+++"
"84","84","Saturday, Jul 2","boxscore","CHW","@","CHC","W","1","0","","42-42","3","3.5","Humber","Garza","Thornton","2:37","D","42,165","++++"
"85","85","Sunday, Jul 3","boxscore","CHW","@","CHC","L","1","3","","42-43","3","3.5","Lopez","Floyd","Marmol","2:23","D","42,311","-"
"86","86","Monday, Jul 4","boxscore","CHW","","KCR","W-wo","5","4","","43-43","3","3.5","Santos","Crow","","2:36","N","31,077","+"
"87","87","Tuesday, Jul 5","boxscore","CHW","","KCR","L","3","5","","43-44","3","3.5","Paulino","Peavy","Soria","2:59","N","20,695","-"
"88","88","Wednesday, Jul 6","boxscore","CHW","","KCR","L","1","4","","43-45","3","4.5","Chen","Jackson","Soria","2:40","D","27,233","--"
"89","89","Thursday, Jul 7","boxscore","CHW","","MIN","L","2","6","","43-46","3","5.5","Pavano","Humber","","2:35","N","26,395","---"
"90","90","Friday, Jul 8","boxscore","CHW","","MIN","L","5","8","","43-47","3","5.5","Blackburn","Floyd","Capps","3:22","N","27,737","----"
"91","91","Saturday, Jul 9","boxscore","CHW","","MIN","W-wo","4","3","","44-47","3","4.5","Crain","Mijares","","2:36","D","30,055","+"
"92","92","Sunday, Jul 10","boxscore","CHW","","MIN","L","3","6","","44-48","3","5.0","Swarzak","Peavy","Capps","3:00","D","30,042","-"
"93","93","Friday, Jul 15","boxscore","CHW","@","DET","W","8","2","","45-48","3","5.0","Floyd","Verlander","","3:06","N","43,593","+"
"94","94","Saturday, Jul 16","boxscore","CHW","@","DET","W","5","0","","46-48","3","4.0","Jackson","Scherzer","","2:46","D","40,984","++"
